x,y,sipm_current,sipm_std,sipm_stderr,sipm_time,pd_current,pd_std,pd_stderr,pd_time
5,0.0,1.76724864e-06,5.259148373973289e-09,3.0363707294216614e-09,1772661277.8194146,1.638234e-10,7.866993e-14,4.5420105262629015e-14,1772661278.4009423
5,0.1,1.8023712333333335e-06,2.454732446688007e-08,1.4172404388838295e-08,1772661279.9437718,1.640091e-10,7.477507e-14,4.3171406793173115e-14,1772661280.5215728
5,0.2,1.908161886666667e-06,1.696449601788461e-08,9.794456342592014e-09,1772661281.2194996,1.641448e-10,7.551293e-14,4.359741046279737e-14,1772661281.7993462
5,0.30000000000000004,2.1126788699999995e-06,5.819816684153783e-08,3.360072729230462e-08,1772661282.485484,1.64237e-10,1.007582e-13,5.817277389306215e-14,1772661283.0775416
5,0.4,2.320553893333333e-06,3.783799681505831e-08,2.184577764677012e-08,1772661283.7691581,1.643715e-10,5.349919e-14,3.088777174792694e-14,1772661284.351182
5,0.5,2.6622529733333336e-06,9.737822887592832e-08,5.622134665472621e-08,1772661285.037147,1.644003e-10,1.04545e-13,6.035908389242943e-14,1772661285.6249652
5,0.6000000000000001,2.9625611200000002e-06,5.897761430551587e-08,3.405074149545151e-08,1772661286.3250155,1.644295e-10,1.220939e-13,7.049094603141125e-14,1772661286.898851
5,0.7000000000000001,3.3382634433333332e-06,1.0128284532908465e-07,5.847567801503825e-08,1772661287.5920973,1.644493e-10,9.02619e-14,5.211273226256708e-14,1772661288.1730661
5,0.8,3.62404496e-06,6.41904603405931e-08,3.706037955704742e-08,1772661288.8564634,1.644024e-10,1.762231e-13,1.0174245422243034e-13,1772661289.4461756
5,0.9,3.907115173333333e-06,2.5721986231285247e-08,1.4850595674724387e-08,1772661290.142299,1.643611e-10,1.294569e-13,7.474197606345446e-14,1772661290.720415
5,1.0,4.259211736666667e-06,8.58829237181382e-08,4.9584529127459184e-08,1772661291.4059927,1.642572e-10,1.448e-13,8.360031897865782e-14,1772661291.9937685
5,1.1,4.582802276666667e-06,5.658464572890554e-08,3.2669160443583224e-08,1772661292.6878808,1.642331e-10,1.868942e-13,1.0790341667997976e-13,1772661293.2673993
5,1.2000000000000002,5.141430646666667e-06,1.830017421598139e-07,1.0565610509813904e-07,1772661293.9615343,1.640725e-10,1.171905e-13,6.765996672146683e-14,1772661294.5419466
5,1.3,5.785353193333333e-06,1.7835792579937091e-07,1.029749964723701e-07,1772661295.2322938,1.640207e-10,1.331697e-13,7.688556214290172e-14,1772661295.8158743
5,1.4000000000000001,7.198888426666667e-06,4.908228288215609e-07,2.833766923445418e-07,1772661296.5132813,1.638996e-10,1.789828e-13,1.0333576776031297e-13,1772661297.089418
5,1.5,8.731920086666666e-06,4.895803503526027e-07,2.8265934706602646e-07,1772661297.7943723,1.638489e-10,1.730561e-13,9.991398591990679e-14,1772661298.3628554
5,1.6,1.0957652899999998e-05,2.9177236201645316e-07,1.6845485175229218e-07,1772661299.0485978,1.637021e-10,8.845655e-14,5.107041295408559e-14,1772661299.636814
5,1.7000000000000002,1.4477026533333333e-05,8.824740187300747e-07,5.094966122666596e-07,1772661300.3404222,1.636267e-10,1.343619e-13,7.757387913382959e-14,1772661300.9107075
5,1.8,1.7902250733333336e-05,5.990063821498306e-07,3.4583649598050853e-07,1772661301.5970602,1.634183e-10,1.580918e-13,9.127434328667248e-14,1772661302.185459
5,1.9000000000000001,2.3427567366666664e-05,1.4675843800686476e-06,8.473102368911238e-07,1772661302.8677745,1.63284e-10,8.533691e-14,4.9269287960310865e-14,1772661303.4587972
5,2.0,2.8225408466666667e-05,9.824558338570488e-07,5.672211401442854e-07,1772661304.1470673,1.631056e-10,1.468745e-13,8.47980321120917e-14,1772661304.7324474
5,2.1,3.5278632666666665e-05,1.8449660991617582e-06,1.065191673996775e-06,1772661305.4162037,1.630694e-10,1.678707e-13,9.692019383405091e-14,1772661306.0069335
5,2.2,4.05089642e-05,1.1780860394858783e-06,6.801682920257119e-07,1772661306.7104607,1.628108e-10,1.552417e-13,8.962883728445513e-14,1772661307.2804961
5,2.3000000000000003,4.6016819066666665e-05,5.831652390053521e-07,3.366906077217725e-07,1772661307.9787257,1.62593e-10,1.26491e-13,7.302961290006496e-14,1772661308.5534964
5,2.4000000000000004,5.2852740833333334e-05,1.3327385475628345e-06,7.694569591947934e-07,1772661309.2522814,1.625616e-10,1.734176e-13,1.0012269804221885e-13,1772661309.8279188
5,2.5,5.7762019033333334e-05,6.320550501219416e-07,3.6491715333056536e-07,1772661310.5234811,1.62402e-10,8.897764e-14,5.1371264405857613e-14,1772661311.1024654
5,2.6,6.316699353333333e-05,1.0219426971544822e-06,5.900188912985125e-07,1772661311.7921007,1.621723e-10,1.061479e-13,6.128451863891348e-14,1772661312.3755076
5,2.7,6.632377363333332e-05,4.984740913683466e-07,2.87794150835569e-07,1772661313.0802746,1.620046e-10,1.049722e-13,6.060572792742724e-14,1772661313.648843
5,2.8000000000000003,6.981775056666667e-05,7.888669026484924e-07,4.554525185988934e-07,1772661314.3418465,1.618872e-10,9.290917e-14,5.3641134309684707e-14,1772661314.9225247
5,2.9000000000000004,7.190694803333333e-05,3.5058871684082316e-07,2.0241249004289473e-07,1772661315.623195,1.617821e-10,1.180941e-13,6.818166042470659e-14,1772661316.196401
5,3.0,7.364116349999999e-05,5.04502343732122e-07,2.9127456396053777e-07,1772661316.8924224,1.615816e-10,2.056722e-13,1.1874490003482255e-13,1772661317.4714844
5,3.1,7.464894813333334e-05,1.815302513725686e-07,1.0480653949601291e-07,1772661318.1579587,1.613414e-10,1.534427e-13,8.8590184150183e-14,1772661318.744336
5,3.2,7.521294943333333e-05,7.954698213015904e-08,4.592647154606968e-08,1772661319.4271066,1.613271e-10,1.400035e-13,8.083105841248978e-14,1772661320.0180702
5,3.3000000000000003,7.570093456666666e-05,1.1452218614126815e-07,6.61194149968456e-08,1772661320.7242446,1.612201e-10,9.02704e-14,5.211763973985519e-14,1772661321.291446
5,3.4000000000000004,7.5967737e-05,7.382385869857227e-08,4.26222246922376e-08,1772661321.9786286,1.611511e-10,6.988125e-14,4.034595849880754e-14,1772661322.566037
5,3.5,7.619434239999999e-05,8.74783865100771e-08,5.050566999986714e-08,1772661323.260957,1.61065e-10,1.482089e-13,8.556844831129833e-14,1772661323.840081
5,3.6,7.634065336666667e-05,5.918498216233245e-08,3.4170465383405844e-08,1772661324.5379498,1.609418e-10,1.382576e-13,7.982306257751161e-14,1772661325.1139545
5,3.7,7.65552942e-05,8.126054946688404e-08,4.69158001092024e-08,1772661325.80103,1.609468e-10,6.734865e-14,3.888376120705789e-14,1772661326.3878615
5,3.8000000000000003,7.677364133333333e-05,1.0985456806918907e-07,6.342456444645638e-08,1772661327.0944932,1.608685e-10,1.761978e-13,1.0172784726061984e-13,1772661327.6614661
5,3.9000000000000004,7.69394787e-05,7.067383976215315e-08,4.08035604113436e-08,1772661328.3617716,1.608174e-10,1.405058e-13,8.112106145270373e-14,1772661328.935835
5,4.0,7.71783223e-05,7.976429286052831e-08,4.605193595474617e-08,1772661329.641761,1.607891e-10,1.083244e-13,6.25411214998047e-14,1772661330.2082818
5,4.1000000000000005,7.729378903333333e-05,6.018897635504735e-08,3.475012170083461e-08,1772661330.9126184,1.606627e-10,1.21941e-13,7.040266917525217e-14,1772661331.4827836
5,4.2,7.742224026666666e-05,6.523706275343287e-08,3.766463574183498e-08,1772661332.1746376,1.605315e-10,9.459841e-14,5.461641747841059e-14,1772661332.7568934
5,4.3,7.747437696666666e-05,5.0217738558491295e-08,2.89932248748392e-08,1772661333.452604,1.604705e-10,1.388481e-13,8.016398791146808e-14,1772661334.0306954
5,4.4,7.75515123e-05,7.093279165031364e-08,4.095306635368022e-08,1772661334.7223823,1.605041e-10,1.434575e-13,8.282522624227075e-14,1772661335.3042076
5,4.5,7.754626383333333e-05,4.549698131065681e-08,2.6267694407023084e-08,1772661335.9841826,1.604495e-10,1.377294e-13,7.951810616532564e-14,1772661336.5783563
5,4.6000000000000005,7.745756186666666e-05,5.0971855048730816e-08,2.9428614233479322e-08,1772661337.2735083,1.6033e-10,5.34934e-14,3.088442888986833e-14,1772661337.853007
5,4.7,7.746094476666667e-05,4.3385932610035756e-08,2.504887987144711e-08,1772661338.5453515,1.603423e-10,1.871754e-13,1.0806576757567589e-13,1772661339.1265047
5,4.800000000000001,7.737482973333333e-05,6.698527997355731e-08,3.8673969424475764e-08,1772661339.808806,1.603271e-10,8.325208e-14,4.806561079859626e-14,1772661340.3994524
5,4.9,7.743811013333333e-05,4.5244393401638997e-08,2.6121862709757603e-08,1772661341.0924716,1.603177e-10,1.643205e-13,9.487048490837392e-14,1772661341.673886
5,5.0,7.736045236666666e-05,3.219803555398196e-08,1.8589544494468625e-08,1772661342.3728116,1.602486e-10,1.024444e-13,5.91463019169697e-14,1772661342.947335
5,5.1000000000000005,7.724302050000002e-05,2.5412262944229565e-08,1.4671776851568491e-08,1772661343.641052,1.60096e-10,9.145342e-14,5.2800656655311905e-14,1772661344.2212448
5,5.2,7.718991376666667e-05,6.888847235661909e-08,3.977277805915612e-08,1772661344.9081106,1.601899e-10,9.78953e-14,5.651987780739918e-14,1772661345.4951105
5,5.300000000000001,7.712770299999999e-05,3.4958461793107904e-08,2.0183277326706095e-08,1772661346.1897106,1.601218e-10,1.192716e-13,6.886149036667737e-14,1772661346.769622
5,5.4,7.70119377e-05,4.566566003968518e-08,2.6365081116634175e-08,1772661347.4667175,1.60081e-10,1.344223e-13,7.760875109008865e-14,1772661348.0428472
5,5.5,7.697067113333332e-05,5.60230980391873e-08,3.234495073376159e-08,1772661348.7411997,1.600144e-10,9.430472e-14,5.444685547785229e-14,1772661349.316762
5,5.6000000000000005,7.690139606666666e-05,5.222550887872937e-08,3.0152411609699596e-08,1772661350.0096245,1.600407e-10,1.306286e-13,7.541845737386395e-14,1772661350.5905569
5,5.7,7.681826596666667e-05,4.1542469606759726e-08,2.3984556010264577e-08,1772661351.283666,1.601003e-10,1.264144e-13,7.298538786944503e-14,1772661351.8644602
5,5.800000000000001,7.679886393333334e-05,6.03825642278383e-08,3.486188971130231e-08,1772661352.5495603,1.601127e-10,8.370904e-14,4.8329436777605155e-14,1772661353.1380644
5,5.9,7.676448756666667e-05,4.393104882200869e-08,2.536360286316931e-08,1772661353.8323972,1.60094e-10,7.132791e-14,4.11811880392334e-14,1772661354.4117448
5,6.0,7.669665520000001e-05,4.032244218653693e-08,2.328017285078022e-08,1772661355.10393,1.60084e-10,1.576446e-13,9.101615224629088e-14,1772661355.6863053
5,6.1000000000000005,7.663091226666667e-05,4.170819921521241e-08,2.4080240044317424e-08,1772661356.3821409,1.601147e-10,9.790882e-14,5.6527683583038614e-14,1772661356.9595869
5,6.2,7.654128993333333e-05,4.743745739099019e-08,2.738802879435959e-08,1772661357.66264,1.600335e-10,8.181688e-14,4.7236997692255314e-14,1772661358.233552
5,6.300000000000001,7.643400683333333e-05,3.63958775330725e-08,2.101316969111206e-08,1772661358.9246209,1.601288e-10,7.868467e-14,4.542861540559688e-14,1772661359.5070748
5,6.4,7.62944368e-05,2.7984902282123865e-08,1.6157090865829587e-08,1772661360.206464,1.602021e-10,8.257644e-14,4.767552986272098e-14,1772661360.7815993
5,6.5,7.604912586666667e-05,5.5929218201184156e-08,3.229074918401899e-08,1772661361.4702413,1.600802e-10,8.778944e-14,5.0685256816006504e-14,1772661362.0551739
5,6.6000000000000005,7.578558203333333e-05,1.0059511209247831e-08,5.8078615045752934e-09,1772661362.7410831,1.601543e-10,8.244637e-14,4.760043391320749e-14,1772661363.3287313
5,6.7,7.54607975e-05,7.932435705309207e-08,4.57979388978967e-08,1772661364.0339286,1.601368e-10,1.176875e-13,6.794690980525409e-14,1772661364.6029143
5,6.800000000000001,7.520250216666666e-05,1.2800155103311845e-08,7.390172994566056e-09,1772661365.2969215,1.600788e-10,1.092268e-13,6.306212238272142e-14,1772661365.8775132
5,6.9,7.491500433333334e-05,2.4595305060431917e-08,1.4200105997441332e-08,1772661366.5605664,1.601163e-10,1.064223e-13,6.144294355277912e-14,1772661367.149804
5,7.0,7.468173256666667e-05,3.231691955826625e-08,1.86581822063445e-08,1772661367.8435786,1.600697e-10,1.124796e-13,6.494012733834144e-14,1772661368.424223
