x,y,sipm_current,sipm_std,sipm_stderr,sipm_time,pd_current,pd_std,pd_stderr,pd_time
5,0.0,1.36254031e-05,2.1880742025850048e-07,1.2632852298693283e-07,1772656274.2750947,4.623981e-09,3.519381e-11,2.0319155677308544e-11,1772656273.1126208
5,0.1,1.4160301333333333e-05,8.469657953603409e-07,4.889959299456983e-07,1772656274.8722186,4.645111e-09,9.650386e-13,5.571652954883797e-13,1772656275.4351938
5,0.2,1.7598584533333334e-05,6.06940377358349e-07,3.504171902498959e-07,1772656276.1237974,4.644127e-09,9.476378e-13,5.471189389242647e-13,1772656276.7082424
5,0.30000000000000004,2.3990996499999998e-05,1.7442213762829126e-06,1.0070266811232392e-06,1772656277.4039304,4.644689e-09,3.866182e-13,2.2321412184360858e-13,1772656277.9869092
5,0.4,3.009919396666667e-05,1.1369664911874407e-06,6.564279097466532e-07,1772656278.6765087,4.643393e-09,6.198818e-13,3.578889240957498e-13,1772656279.2599192
5,0.5,3.9426307733333334e-05,2.554215894089064e-06,1.474677234020742e-06,1772656279.965648,4.64449e-09,1.089467e-12,6.290040657232141e-13,1772656280.5349975
5,0.6000000000000001,4.695684596666667e-05,1.4067928644491263e-06,8.122122389837478e-07,1772656281.2316084,4.644349e-09,2.966622e-13,1.712780010283866e-13,1772656281.8079844
5,0.7000000000000001,5.613715126666667e-05,2.5068403013530046e-06,1.4473249228015599e-06,1772656282.4916875,4.64573e-09,3.18194e-13,1.837093915545238e-13,1772656283.081426
5,0.8,6.316749099999999e-05,1.6579669031374637e-06,9.57227637833905e-07,1772656283.77713,4.644057e-09,6.61268e-13,3.817832578064855e-13,1772656284.3562186
5,0.9,7.020688506666667e-05,8.676534430153604e-07,5.00939948888224e-07,1772656285.0455227,4.6429e-09,5.639271e-13,3.2558346298832504e-13,1772656285.6300483
5,1.0,8.0573349e-05,2.8485251151724962e-06,1.6445967420382505e-06,1772656286.318623,4.64347e-09,4.977432e-13,2.8737217050730574e-13,1772656286.9025357
5,1.1,9.148471070000001e-05,2.027383935407351e-06,1.170510660858157e-06,1772656287.6055636,4.644346e-09,9.19306e-13,5.307615665676381e-13,1772656288.177405
5,1.2000000000000002,0.000111777437,6.801830018439496e-06,3.927038392128121e-06,1772656288.8751082,4.643649e-09,5.009817e-13,2.8924191935407634e-13,1772656289.450625
5,1.3,0.00013607926366666665,6.0361700795270505e-06,3.4849844202893074e-06,1772656290.1467824,4.64514e-09,1.33383e-12,7.700871095531986e-13,1772656290.7244534
5,1.4000000000000001,0.00018454931633333333,1.6159010263377322e-05,9.329408925398822e-06,1772656291.4186804,4.645083e-09,3.302173e-13,1.9065104704607142e-13,1772656291.9982688
5,1.5,0.00029375170766666667,6.445085335010287e-08,3.7210717531182984e-08,1772656293.6130025,4.64372e-09,6.016767e-13,3.4737820471012575e-13,1772656293.2728596
5,1.6,0.0003097299796666667,1.931190710649203e-05,1.114973476649822e-05,1772656294.212306,4.643167e-09,5.371698e-13,3.1013512863053745e-13,1772656294.7715924
5,1.7000000000000002,0.0003820541563333333,1.2452356799313355e-05,7.1893715501288325e-06,1772656295.4755464,4.642691e-09,8.868554e-13,5.120262039222733e-13,1772656296.0450757
5,1.8,0.0004998417306666666,3.219263356034367e-05,1.8586425651987403e-05,1772656296.733586,4.642993e-09,5.617692e-13,3.2433759884244074e-13,1772656297.3193839
5,1.9000000000000001,0.000603436667,2.0540891809151662e-05,1.1859289415408691e-05,1772656298.0025442,4.644038e-09,4.030944e-13,2.327266603488307e-13,1772656298.5931103
